delay_id,flight_id,delay_type,delay_type_id,delay_minutes
1,2607,Air Traffic Control,1,185
2,10471,Air Traffic Control,1,179
3,14835,Technical,4,141
4,13152,Airline Operations,2,73
5,679,Airline Operations,2,94
6,2849,Weather,5,227
7,1768,Airline Operations,2,215
8,11526,Air Traffic Control,1,102
9,2811,Air Traffic Control,1,71
10,6513,Air Traffic Control,1,146
11,1918,Air Traffic Control,1,28
12,12930,Technical,4,18
13,11856,Airline Operations,2,123
14,4565,Airline Operations,2,188
15,14876,Technical,4,216
16,6243,Technical,4,15
17,5209,Airline Operations,2,73
18,8917,Technical,4,208
19,14636,Weather,5,104
20,14133,Airline Operations,2,134
21,5190,Weather,5,198
22,4335,Technical,4,85
23,11498,Technical,4,54
24,428,Security,3,231
25,14499,Weather,5,174
26,1488,Security,3,133
27,4584,Airline Operations,2,17
28,6411,Airline Operations,2,30
29,631,Technical,4,25
30,10158,Security,3,105
31,4294,Airline Operations,2,159
32,8646,Air Traffic Control,1,115
33,1960,Technical,4,132
34,9091,Airline Operations,2,111
35,11600,Weather,5,200
36,156,Weather,5,83
37,11197,Air Traffic Control,1,151
38,566,Security,3,127
39,1695,Security,3,172
40,13238,Air Traffic Control,1,88
41,9542,Security,3,53
42,13132,Security,3,113
43,7928,Security,3,154
44,6963,Airline Operations,2,229
45,3970,Technical,4,17
46,274,Airline Operations,2,57
47,4232,Air Traffic Control,1,203
48,8856,Airline Operations,2,26
49,1344,Air Traffic Control,1,76
50,9981,Airline Operations,2,16
51,12665,Airline Operations,2,143
52,658,Airline Operations,2,98
53,9615,Security,3,113
54,9580,Security,3,120
55,9939,Air Traffic Control,1,169
56,5670,Air Traffic Control,1,83
57,371,Security,3,73
58,12141,Technical,4,96
59,7155,Weather,5,200
60,371,Airline Operations,2,73
61,8961,Security,3,65
62,6185,Weather,5,152
63,1885,Airline Operations,2,63
64,14985,Airline Operations,2,135
65,12190,Weather,5,138
66,1037,Weather,5,97
67,2646,Weather,5,128
68,12959,Security,3,179
69,240,Security,3,173
70,12374,Security,3,194
71,2005,Air Traffic Control,1,34
72,6278,Air Traffic Control,1,29
73,13597,Air Traffic Control,1,223
74,3905,Airline Operations,2,115
75,10203,Airline Operations,2,17
76,784,Air Traffic Control,1,194
77,13294,Security,3,171
78,13511,Air Traffic Control,1,90
79,9455,Technical,4,38
80,14143,Air Traffic Control,1,173
81,4095,Air Traffic Control,1,209
82,5044,Security,3,239
83,11236,Technical,4,89
84,13048,Weather,5,145
85,6272,Security,3,156
86,11887,Airline Operations,2,235
87,11711,Security,3,205
88,4601,Airline Operations,2,120
89,6593,Air Traffic Control,1,40
90,3226,Weather,5,49
91,2525,Security,3,39
92,10912,Air Traffic Control,1,80
93,12271,Technical,4,236
94,4662,Air Traffic Control,1,101
95,8662,Air Traffic Control,1,154
96,8105,Weather,5,178
97,9879,Airline Operations,2,219
98,14051,Weather,5,158
99,1831,Technical,4,209
100,7616,Security,3,159
101,792,Air Traffic Control,1,32
102,5597,Airline Operations,2,210
103,7213,Weather,5,227
104,12021,Weather,5,31
105,6101,Weather,5,225
106,1503,Security,3,38
107,10547,Weather,5,130
108,2409,Weather,5,91
109,10779,Technical,4,223
110,10790,Security,3,222
111,3786,Weather,5,230
112,12464,Technical,4,224
113,4990,Air Traffic Control,1,76
114,4586,Weather,5,74
115,3137,Weather,5,197
116,10932,Air Traffic Control,1,162
117,14435,Airline Operations,2,101
118,5156,Airline Operations,2,142
119,5871,Security,3,60
120,11030,Air Traffic Control,1,112
121,1037,Airline Operations,2,97
122,12995,Airline Operations,2,78
123,1462,Air Traffic Control,1,122
124,13754,Security,3,180
125,2321,Technical,4,17
126,12271,Air Traffic Control,1,236
127,7832,Weather,5,141
128,9462,Technical,4,145
129,4495,Technical,4,148
130,5302,Weather,5,213
131,11765,Security,3,26
132,3554,Air Traffic Control,1,75
133,9620,Air Traffic Control,1,40
134,5218,Air Traffic Control,1,146
135,401,Technical,4,155
136,764,Security,3,81
137,14405,Security,3,217
138,10948,Security,3,42
139,14912,Air Traffic Control,1,196
140,13016,Airline Operations,2,134
141,170,Air Traffic Control,1,30
142,1061,Technical,4,80
143,12643,Security,3,161
144,4752,Air Traffic Control,1,156
145,11743,Technical,4,215
146,5360,Technical,4,162
147,9985,Weather,5,169
148,11954,Weather,5,230
149,4943,Weather,5,96
150,11392,Airline Operations,2,171
151,2706,Security,3,31
152,2203,Weather,5,156
153,14364,Air Traffic Control,1,128
154,13108,Weather,5,84
155,13184,Airline Operations,2,184
156,7015,Technical,4,24
157,10143,Weather,5,234
158,11426,Airline Operations,2,77
159,13184,Air Traffic Control,1,184
160,589,Weather,5,158
161,2004,Air Traffic Control,1,214
162,385,Security,3,185
163,1715,Weather,5,133
164,9696,Technical,4,195
165,10373,Weather,5,122
166,4063,Airline Operations,2,134
167,14895,Weather,5,161
168,8774,Air Traffic Control,1,132
169,4016,Security,3,116
170,4852,Air Traffic Control,1,66
171,402,Air Traffic Control,1,157
172,2098,Weather,5,134
173,5245,Security,3,103
174,11335,Air Traffic Control,1,105
175,12885,Security,3,64
176,6929,Security,3,213
177,6549,Technical,4,119
178,6665,Weather,5,137
179,6727,Technical,4,111
180,1329,Technical,4,111
181,12082,Airline Operations,2,203
182,9200,Technical,4,227
183,5150,Technical,4,211
184,13543,Weather,5,104
185,12494,Security,3,98
186,6334,Airline Operations,2,193
187,9358,Airline Operations,2,18
188,1602,Weather,5,162
189,2038,Security,3,81
190,6810,Technical,4,62
191,5198,Airline Operations,2,55
192,11189,Security,3,32
193,178,Airline Operations,2,178
194,13736,Air Traffic Control,1,92
195,7937,Weather,5,119
196,7920,Security,3,96
197,3957,Airline Operations,2,31
198,615,Security,3,172
199,5948,Airline Operations,2,221
200,9181,Weather,5,78
201,8996,Security,3,141
202,836,Air Traffic Control,1,89
